epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8580999,0.10559664,0.20565113,0.06707863,10.0,-3.8191037,0.0,20.0,0.05
1,0.8562407,0.10534316,0.20684256,0.07554578,20.0,-5.3060083,0.3,40.0,0.05
2,0.8573093,0.10724894,0.20693189,0.07958945,30.0,-7.3273215,0.2,60.0,0.0
3,0.8566353,0.10834414,0.20661116,0.07930183,40.0,-8.493755,0.4,80.0,0.0
4,0.8551398,0.10910078,0.20728812,0.082537085,50.0,-10.512319,0.2,100.0,0.0
5,0.8550949,0.10955056,0.2068843,0.0835577,60.0,-12.366143,0.3,120.0,0.0
6,0.8537676,0.11016508,0.2072356,0.089641236,70.0,-11.541655,0.4,140.0,0.05
7,0.8530512,0.11366686,0.20682174,0.09232726,80.0,-11.681022,0.3,160.0,0.15
8,0.85201997,0.11390484,0.20775878,0.09391152,90.0,-10.218263,0.1,180.0,0.0
9,0.8523825,0.11285386,0.2080858,0.09406587,100.0,-8.694288,0.6,200.0,0.05
10,0.8526485,0.1116915,0.20785591,0.09573297,110.0,-10.078709,0.4,220.0,0.1
11,0.8525536,0.1122485,0.2076386,0.09636197,120.0,-14.237318,0.2,240.0,0.05
12,0.849859,0.115611345,0.20739561,0.09988099,130.0,-11.577051,0.4,260.0,0.05
13,0.8490515,0.115388386,0.20727962,0.10014101,140.0,-8.497459,0.7,280.0,0.0
14,0.8490489,0.115552746,0.2073906,0.103740245,150.0,-11.165595,0.3,300.0,0.1
15,0.84833354,0.120835654,0.20764714,0.10779851,160.0,-11.639323,0.4,320.0,0.0
16,0.8486474,0.12018091,0.20760722,0.11027604,170.0,-10.269528,0.3,340.0,0.05
17,0.8483076,0.120218016,0.20754364,0.11108946,180.0,-7.3800306,0.5,360.0,0.05
18,0.8479834,0.120944075,0.20686182,0.11302522,190.0,-12.442981,0.4,380.0,0.0
19,0.8475583,0.12301596,0.2069936,0.11484207,200.0,-10.387051,0.5,400.0,0.05
20,0.8472523,0.12331302,0.20684554,0.11606925,210.0,-9.26771,0.3,420.0,0.0
21,0.8470194,0.12264586,0.2066046,0.11742058,220.0,-10.624573,0.4,440.0,0.05
22,0.8459826,0.122994445,0.2062573,0.11799241,230.0,-7.2921615,0.8,460.0,0.05
23,0.84575254,0.12298118,0.20593296,0.118144535,240.0,-12.585179,0.0,480.0,0.15
24,0.8452988,0.122543015,0.20565,0.11931955,250.0,-7.9797416,0.3,500.0,0.05
25,0.84563756,0.12438983,0.20545508,0.12124256,260.0,-11.144536,0.4,520.0,0.05
26,0.846226,0.12432396,0.20535158,0.1217753,270.0,-13.512733,0.4,540.0,0.05
27,0.845462,0.12495315,0.20482866,0.12210016,280.0,-11.83789,0.4,560.0,0.05
28,0.8455748,0.12545294,0.20499454,0.12420849,290.0,-11.125571,0.5,580.0,0.05
29,0.8452222,0.12606473,0.20496836,0.12391288,300.0,-12.085508,0.4,600.0,0.1
30,0.84525174,0.12663054,0.20503025,0.12416081,310.0,-13.015108,0.6,620.0,0.05
31,0.84462446,0.1274754,0.20515376,0.12521678,320.0,-13.773,0.3,640.0,0.05
32,0.84518594,0.1270573,0.20554917,0.12556802,330.0,-8.976855,0.7,660.0,0.15
33,0.8452125,0.12705132,0.20511298,0.12534194,340.0,-15.559108,0.3,680.0,0.15
34,0.84466594,0.1275692,0.20544972,0.12582594,350.0,-10.340627,0.8,700.0,0.05
35,0.8447415,0.12748773,0.20519868,0.12711653,360.0,-8.334635,0.7,720.0,0.1
36,0.8446396,0.12737755,0.20544797,0.12780479,370.0,-13.389201,0.5,740.0,0.1
37,0.8443642,0.12783872,0.2051999,0.12826121,380.0,-13.16275,0.5,760.0,0.15
38,0.84418637,0.12849446,0.20537607,0.1286831,390.0,-14.318306,0.5,780.0,0.15
39,0.84400743,0.1286018,0.20514072,0.12965876,400.0,-10.704039,0.7,800.0,0.05
40,0.84392637,0.12826924,0.20498532,0.12969634,410.0,-9.301798,0.4,820.0,0.15
41,0.844047,0.12768172,0.20496632,0.12997761,420.0,-8.629008,0.6,840.0,0.1
42,0.8441961,0.12730515,0.20479797,0.12993279,430.0,-11.901799,0.3,860.0,0.2
43,0.8439236,0.12698296,0.20447987,0.13002956,440.0,-12.894058,0.5,880.0,0.1
44,0.8438125,0.126597,0.20450427,0.1297689,450.0,-8.4978695,0.3,900.0,0.15
45,0.84384495,0.126692,0.20452996,0.129745,460.0,-7.907977,0.6,920.0,0.1
46,0.84396785,0.12804605,0.20459263,0.13061267,470.0,-13.873622,0.4,940.0,0.05
47,0.8434742,0.12909575,0.2045254,0.1310665,480.0,-10.029482,0.5,960.0,0.2
48,0.84365433,0.13104185,0.20446765,0.13163133,490.0,-11.887985,0.4,980.0,0.15
49,0.84378654,0.13067357,0.20443746,0.13177802,500.0,-10.253972,0.3,1000.0,0.25
50,0.8440514,0.13103633,0.20471482,0.13227801,510.0,-11.582204,0.7,1020.0,0.1
51,0.84398574,0.13072546,0.20454058,0.1323113,520.0,-11.6901455,0.4,1040.0,0.05
52,0.8438435,0.13112898,0.20436278,0.13254417,530.0,-15.983942,0.2,1060.0,0.15
53,0.84371895,0.13222505,0.20413369,0.13316934,540.0,-11.799747,0.4,1080.0,0.15
54,0.8438464,0.1329497,0.2041757,0.13337334,550.0,-13.283686,0.2,1100.0,0.25
55,0.84366065,0.13275348,0.20424204,0.13337564,560.0,-15.438021,0.1,1120.0,0.25
56,0.843643,0.1334557,0.20421268,0.13392672,570.0,-11.949412,0.3,1140.0,0.2
57,0.8438399,0.13316824,0.20426196,0.13421693,580.0,-16.978634,0.1,1160.0,0.15
58,0.84402347,0.13364623,0.204216,0.1343848,590.0,-9.262587,0.5,1180.0,0.1
59,0.8444229,0.13418284,0.20433734,0.13449399,600.0,-10.390742,0.5,1200.0,0.15
60,0.8442312,0.13359484,0.20425265,0.13474736,610.0,-13.545416,0.3,1220.0,0.3
61,0.8443408,0.13343766,0.2043607,0.13468969,620.0,-12.345821,0.2,1240.0,0.15
62,0.844492,0.13319658,0.20446329,0.13440809,630.0,-7.3382964,0.7,1260.0,0.3
63,0.84454274,0.13292408,0.20437513,0.13456663,640.0,-8.831263,0.5,1280.0,0.25
64,0.84434193,0.1332648,0.2043624,0.13533723,650.0,-11.6740675,0.0,1300.0,0.2
65,0.8442803,0.13346653,0.20429175,0.13559316,660.0,-9.236812,0.4,1320.0,0.15
66,0.8440132,0.13343892,0.20413125,0.13588096,670.0,-11.315842,0.6,1340.0,0.15
67,0.8437627,0.13353883,0.20404463,0.13617167,680.0,-11.006386,0.5,1360.0,0.3
68,0.84393716,0.13349609,0.20401928,0.13607498,690.0,-9.086239,0.4,1380.0,0.25
69,0.84381866,0.13295013,0.20401962,0.13594411,700.0,-8.417956,0.5,1400.0,0.45
70,0.84376574,0.13307263,0.20384993,0.13622004,710.0,-10.919397,0.2,1420.0,0.3
71,0.8438317,0.13293599,0.20354074,0.13659203,720.0,-6.482011,0.5,1440.0,0.25
